,partitions,subjects,domains,wb_membership,depth,values
107,0,2,2,1,0,0.35236699980578223
108,0,3,2,1,0,0.4104059380436844
109,0,4,2,1,0,0.4038746520199922
110,0,5,2,1,0,0.6696651340998674
111,0,6,2,1,0,0.5054869742827109
112,0,0,3,0,0,0.6469244629228557
113,0,1,3,0,0,0.6750683506085997
114,0,2,3,0,0,0.7113426973255463
115,0,3,3,0,0,0.8232740049644935
116,0,4,3,0,0,0.7148239584106844
117,0,5,3,0,0,0.8487265059534017
118,0,6,3,0,0,0.7227659312149344
119,0,0,3,1,0,0.7254984498593299
120,0,1,3,1,0,0.8530593765662033
121,0,2,3,1,0,0.9187710777013322
122,0,3,3,1,0,0.941914395190176
123,0,4,3,1,0,0.8717524385511303
124,0,5,3,1,0,1.0305179546584893
125,0,6,3,1,0,0.8655988392070159
126,0,0,4,0,0,0.5595596977327154
127,0,1,4,0,0,0.5998444975520162
128,0,2,4,0,0,0.6224280940842177
129,0,3,4,0,0,0.6900184689788391
130,0,4,4,0,0,0.5633098368387257
131,0,5,4,0,0,0.806704263119226
132,0,6,4,0,0,0.6275047669277283
133,0,0,4,1,0,0.6828670292568708
134,0,1,4,1,0,0.780495729258936
135,0,2,4,1,0,0.7065687259971732
136,0,3,4,1,0,0.7768602895707433
137,0,4,4,1,0,0.7554621673382538
138,0,5,4,1,0,0.8875805597352895
139,0,6,4,1,0,0.6944473514519343
140,0,0,0,0,1,0.686209126578033
141,0,1,0,0,1,0.7298615245166735
142,0,2,0,0,1,0.7221093620652008
143,0,3,0,0,1,0.7495031868583584
144,0,4,0,0,1,0.6295679536225323
145,0,5,0,0,1,0.862400439168056
146,0,6,0,0,1,0.8262526626516814
147,0,0,0,1,1,0.7965981318315326
148,0,1,0,1,1,0.7206598007873289
149,0,2,0,1,1,0.7802621600899899
150,0,3,0,1,1,0.7625373625080207
151,0,4,0,1,1,0.6603712544098923
152,0,5,0,1,1,0.9373141518222905
153,0,6,0,1,1,0.9266770660835738
154,0,0,1,0,1,0.7006494981888657
155,0,1,1,0,1,0.7311034064070486
156,0,2,1,0,1,0.7617002007803271
157,0,3,1,0,1,0.790601350241188
158,0,4,1,0,1,0.6456677464068215
159,0,5,1,0,1,0.829610650405587
160,0,6,1,0,1,0.8538316406092112
161,0,0,1,1,1,0.8694653010257766
162,0,1,1,1,1,0.8521625495453989
163,0,2,1,1,1,0.8744782540909236
164,0,3,1,1,1,0.8369266354469498
165,0,4,1,1,1,0.8082084794190848
166,0,5,1,1,1,0.877499384242355
167,0,6,1,1,1,0.9879557444808563
168,0,0,2,0,1,0.43122192459092196
169,0,1,2,0,1,0.6780846153080033
170,0,2,2,0,1,0.6292894925046268
171,0,3,2,0,1,0.5938810564825536
172,0,4,2,0,1,0.5998809604306925
173,0,5,2,0,1,0.8181729131420524
174,0,6,2,0,1,0.7247717258016934
175,0,0,2,1,1,0.4559881255788638
176,0,1,2,1,1,0.7016667789514534
177,0,2,2,1,1,0.6167045039163812
178,0,3,2,1,1,0.5640706944536784
179,0,4,2,1,1,0.6103219508699943
180,0,5,2,1,1,0.793311235055932
181,0,6,2,1,1,0.7509114520907257
182,0,0,3,0,1,0.8142663386946642
183,0,1,3,0,1,0.8330353669063256
