,partitions,categories,depths,subjects,betas
185,0,8,1,3,0.7721714448845111
186,0,8,1,4,0.8045382868085278
187,0,8,1,5,0.5563769272621854
188,0,8,1,6,1.109519928252571
189,0,9,-1,0,1.8575263318648898
190,0,9,-1,1,1.0938075502727278
191,0,9,-1,2,0.9118140940407224
192,0,9,-1,3,0.8789037481589934
193,0,9,-1,4,0.6443259957723418
194,0,9,-1,5,0.36509698859872
195,0,9,-1,6,2.18468950316683
196,0,9,0,0,1.389958036998049
197,0,9,0,1,0.9434538257943095
198,0,9,0,2,0.779073956607407
199,0,9,0,3,0.6732289750890031
200,0,9,0,4,0.6005951271918173
201,0,9,0,5,0.24552813092681805
202,0,9,0,6,1.7987460870009053
203,0,9,1,0,0.9260846614423998
204,0,9,1,1,0.7302235643718994
205,0,9,1,2,0.6039422456175703
206,0,9,1,3,0.708482667784728
207,0,9,1,4,0.4983409374338411
208,0,9,1,5,0.30641478908822695
209,0,9,1,6,0.9539988309504105
210,1,0,-1,0,1.807449861179328
211,1,0,-1,1,-0.5281629938784105
212,1,0,-1,2,0.6813100284159835
213,1,0,-1,3,1.1996596843456724
214,1,0,-1,4,1.211215620179034
215,1,0,-1,5,0.20325126574379662
216,1,0,-1,6,0.27716871337317567
217,1,0,0,0,1.2531907649367366
218,1,0,0,1,0.09788435761775292
219,1,0,0,2,0.704978352157688
220,1,0,0,3,0.7279270279781951
221,1,0,0,4,0.6418272161866105
222,1,0,0,5,0.16030655987945963
223,1,0,0,6,0.27917518962675775
224,1,0,1,0,0.8091756740012838
225,1,0,1,1,0.4034326347998626
226,1,0,1,2,0.5553980458880381
227,1,0,1,3,0.5706454171840867
228,1,0,1,4,0.605219661596818
229,1,0,1,5,0.2952913378850743
230,1,0,1,6,0.18209996036572543
231,1,1,-1,0,1.508176603928015
232,1,1,-1,1,-0.7738371506611379
233,1,1,-1,2,0.6240169026441769
234,1,1,-1,3,1.164889988027952
235,1,1,-1,4,1.0766077584340676
236,1,1,-1,5,0.2924342237421935
237,1,1,-1,6,0.49249452983804987
238,1,1,0,0,0.9920310782268421
239,1,1,0,1,0.010499337469558133
240,1,1,0,2,0.7003189905552315
241,1,1,0,3,0.6690835343328049
242,1,1,0,4,0.5383912607881103
243,1,1,0,5,0.11396616355588599
244,1,1,0,6,0.38259350467085945
245,1,1,1,0,0.6846268750154424
246,1,1,1,1,0.3675392113379616
247,1,1,1,2,0.5865527561245772
248,1,1,1,3,0.5369987905999145
249,1,1,1,4,0.527524993694027
250,1,1,1,5,0.2812838327983994
251,1,1,1,6,0.26521786797113056
252,1,2,-1,0,2.075570714469792
253,1,2,-1,1,-0.4098236833059324
254,1,2,-1,2,0.9575363312555486
255,1,2,-1,3,1.0021817109279372
256,1,2,-1,4,0.96278040783694
257,1,2,-1,5,0.610189293067553
258,1,2,-1,6,0.6682288215210342
259,1,2,0,0,1.3941062330153493
260,1,2,0,1,0.13754426513460608
261,1,2,0,2,0.779813016973476
262,1,2,0,3,0.5581792800752372
263,1,2,0,4,0.5559487669883886
